sentence_idx	title	main	aspect1	opinion1	aspect2	opinion2	aspect3	opinion3
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	Honda City 2021 hiện là mẫu xe mạnh mẽ nhất phân khúc nhờ động cơ 1.5L DOHC i-VTEC 4 xy-lanh thẳng hàng tạo ra công suất 119 mã lực tại 6.600 vòng/phút và mô-men xoắn cực đại 145 Nm tại 4.300 vòng/phút	sức mạnh	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Đồng thời, mẫu sedan cỡ nhỏ của Honda hiện còn có động cơ mạnh mẽ nhất phân khúc và những trải nghiệm thực sự ấn tượng đối với chúng tôi"	sức mạnh	tích cực				
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	"Tuy nhiên, mức giá cao hơn 31 triệu đồng so với đối thủ sẽ là chi tiết khiến nhiều băn khoăn khi lựa chọn"	giá	tiêu cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Nhìn vào những thông số kích thước trên, VinFast Lux SA2.0 đang nhỉnh hơn Kia Sorento về mọi chỉ số, điều này giúp xe vạm vỡ hơn khi nhìn từ phần thân"	thiết kế	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	Dáng vẻ bệ vệ được thể hiện rõ ở phía sau đuôi xe VinFast Lux SA2.0 nhờ thông số kích thước chiều cao và rộng đều lớn hơn đối thủ	thiết kế	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Tuy nhiên, với đội ngũ so sánh xe chúng tôi, thiết kế màn hình xe cần thay đổi bởi nó không thực sự ấn tượng như nhiều đối thủ"	thiết kế	tiêu cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	" Kia Sorento 2021 có ghế trước chỉnh điện đa hướng, có chức năng làm mát/sưởi ấm và đặc biệt xe có nhớ 2 vị trí ghế lái hơn hẳn đối thủ"	tính năng và công nghệ	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Về trải nghiệm hàng ghế thứ 3, theo cảm nhận của chúng tôi, Kia Sorento có phần rộng rãi hơn VinFast Lux SA2.0"	thiết kế	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Sự thiếu sót của đối thủ là điểm mạnh của Kia Sorento với màn hình giải trí 12,3 inch kết nối Apple CarPlay và Android Auto cùng hệ thống âm thanh vòm 12 loa Bose"	tính năng và công nghệ	tiêu cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Không những êm ái, động cơ dầu của Sorento mới còn mang đến những trải nghiệm uy lực không khác gì máy xăng"	sức mạnh	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	Điểm vượt trội của Sorento so với đối thủ đến từ công nghệ an toàn	an toàn	tích cực				
220	"So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng"	"Trong khi đó, Kia Sorento 2021 là một chiếc xe trẻ trung, nội thất tiện nghi, công nghệ an toàn dẫn đầu và mang đến những trải nghiệm êm ái cho người dùng"	an toàn	tích cực				
427	"So sánh xe Kia Seltos Premium 2021 và Peugeot 2008 GT Line 2021: Cuộc chiến SUV đô thị ""hot"" tại Việt Nam"	"Kia Seltos Premium 2021 ghi điểm với người dùng nhờ phần ghế ngồi rộng rãi, đặc biệt hàng ghế trước xe còn có tính năng thông gió duy nhất trong phân khúc"	tính năng và công nghệ	tích cực				
427	"So sánh xe Kia Seltos Premium 2021 và Peugeot 2008 GT Line 2021: Cuộc chiến SUV đô thị ""hot"" tại Việt Nam"	"Ngoài ra, hàng ghế sau của xe còn có bệ tỳ tay kiêm hộc để cốc và cửa gió điều hòa, 2 chi tiết hơn hẳn đối thủ Peugeot 2008"	tính năng và công nghệ	tích cực				
427	"So sánh xe Kia Seltos Premium 2021 và Peugeot 2008 GT Line 2021: Cuộc chiến SUV đô thị ""hot"" tại Việt Nam"	"Ghế lái chỉnh điện, hàng ghế sau chưa có cửa gió điều hòa và không có bệ tỳ tay trung tâm là yếu điểm so với đối thủ"	tính năng và công nghệ	tiêu cực				
427	"So sánh xe Kia Seltos Premium 2021 và Peugeot 2008 GT Line 2021: Cuộc chiến SUV đô thị ""hot"" tại Việt Nam"	Lợi thế của Kia Seltos Premium 2021 là mức giá rẻ hơn đối thủ chỉ 720 triệu đồng cùng thiết kế được đánh giá là ấn tượng hàng đầu trong phân khúc	giá	tích cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	Peugeot 2008 2021 hiện có mức giá cao hơn so với phần lớn các xe cùng phân khúc dao động từ 739 - 829 triệu đồng	giá	tiêu cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	Toyota Corolla Cross 1.8V vẫn giữ truyền thống là thương hiệu xe luôn có mức giá cao nhất phân khúc với 3 phiên bản dao động từ 720-918 triệu đồng	giá	tiêu cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	"Xét về thông số kích thước, Toyota Corolla Cross rỏ ra hoàn toàn vượt trội so với đối thủ và nhìn từ thân, chiếc xe đến từ Nhật Bản cũng bề thế hơn rõ rệt"	thiết kế	tích cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	"Bên phía đối diện, thay vì nét bo tròn ở đầu xe, đuôi xe của Toyota Corolla Cross 1.8V 2021 có phần góc cạnh và cứng cáp hơn"	thiết kế	tích cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	"Cụm đèn hậu LED 3D nổi khổi mang đến sự nhận diện tốt, nhưng đội ngũ cảm thấy thiết kế này vẫn khá đơn điệu so với Peugeot 2008"	thiết kế	tiêu cực				
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	"Điểm trừ của Peugeot 2008 là điểm cộng của Corolla Cross khi xe cung cấp đủ cho khách hàng sự thoải mái, các tiện ích như cửa gió điều hòa, bệ tỳ tay và tựa đầu"	tính năng và công nghệ	tiêu cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Lợi thế lớn nhất của Mitsubishi Xpander khi cạnh tranh với các đối thủ cùng phân khúc là mức giá bán rẻ, giá xe hiện dao động trong khoảng 555-630 triệu đồng"	giá	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Ở chiều ngược lại, Toyota Innova 2.0G 2021 lại đang là xe MPV có mức giá cao nhất Việt Nam với 4 phiên bản dao động từ 750-989 triệu đồng"	giá	tiêu cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Khi đặt cạnh nhau, rõ ràng Mitsubishi Xpander 2021 chiếm ưu thế hơn đối thủ nhờ ngôn ngữ thiết kế mới đầy táo bạo, hướng đến khách hàng trẻ"	thiết kế	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Ở bản mới, lưới tản nhiệt của xe gọn gàng hơn và sơn đen toàn bộ để mang đến diện mạo mới"	tính năng và công nghệ	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Ngoài ra, mẫu xe đa dụng của Toyota còn vượt trội hơn nhờ loạt cảm biến trước giúp người dùng dễ dàng điều khiển xe hơn ở khu vực nội đô"	tính năng và công nghệ	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Xét về thông số kích thước, Toyota Innova tỏ ra vượt trội hơn hẳn đối thủ, duy chỉ chiều dài trục cơ sở của xe ngắn hơn, điều này sẽ ảnh hưởng lớn đến khoang nội thất bên trong"	thiết kế	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	Gương xe bọc crom tương tự đối thủ	thiết kế	trung lập				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Xét về ngoại thất, rõ ràng Mitsubishi Xpander có diện mạo trẻ trung, công nghệ đèn hiện đại hơn đối thủ"	tính năng và công nghệ	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	Toyota Innova 2.0G 2021 mới nâng cấp không thay đổi thiết kế so với bản cũ đã bán ở Việt Nam	thiết kế	trung lập				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"So với đối thủ, Innova tiện nghi hơn nhờ điều hòa tự động 2 giàn lạnh, cổng USB, bàn làm việc ghế sau, khởi động nút bấm.."	tính năng và công nghệ	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Thế nhưng, Mitsubishi Xpander lại có trọng lượng nhẹ hơn Innova nên khả năng vận hành cũng không phải là điều quá lo ngại"	thiết kế	tích cực				
191	So sánh Mitsubishi Xpander AT 2021 và Toyota Innova 2.0G 2021: Cuộc cạnh tranh xe chạy dịch vụ tại Việt Nam	"Mitsubishi Xpander có lợi thế về thiết kế trẻ trung, nội thất 7 chỗ đủ dùng và quan trọng nhất là mức giá rẻ hơn 200 triệu đồng so với phiên bản tương tự của đối thủ"	giá	tích cực				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	"Về khả năng chiếu sáng, Suzuki XL7 nhỉnh hơn đối thủ trong tầm giá 600 triệu đồng khi sở hữu đèn pha LED với các khoang bóng khá tinh tế"	tính năng và công nghệ	tích cực				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	Lưới tản nhiệt truyền thống dạng vân mắt xích là chi tiết khiến nhiều cho rằng xe Nhật chưa phá cách so với những đối thủ đến từ Hàn Quốc	tính năng và công nghệ	tiêu cực				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	"Tuy nhiên, mâm xe không ảnh hưởng quá nhiều bởi dù sao chiếc xe đến từ Nhật Bản vẫn có khoảng sáng gầm xe tốt hơn Seltos"	thiết kế	tích cực				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	Suzuki XL7 2020 tương tự có phần trần xe sơn đen và gương chiếu hậu tích hợp dải LED xi-nhan giống hệt đối thủ	thiết kế	trung lập				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	Cụm đèn hậu của chiếc xe này dù dùng bóng LED nhưng thiết kế vẫn tương đối đơn điệu và giống hệt Suzuki Ertiga	thiết kế	trung lập				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	"Nhìn chung, ngoại hình của Kia Seltos đang cho thấy sự trẻ trung hơn đối thủ, nhưng công nghệ đèn pha LED đang là điểm nhấn của Suzuki XL7 tại Việt Nam"	thiết kế	tích cực				
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	"Tuy nhiên, mức giá cao hơn 50 triệu đồng so với đối thủ Suzuki XL7 sẽ khiến nhiều người phải suy nghĩ"	giá	tiêu cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Còn với Hyundai Tucson, chiếc xe đến từ Hàn Quốc vẫn luôn được biết đến là chiếc xe sở hữu ngoại thất hấp dẫn, tiện nghi khá đầy đủ và mức giá cũng rẻ hơn so với các đối thủ đến từ Nhật Bản"	giá	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Dù là xe nhập tư nhân, nhưng Baic X55 2021 có giá rẻ nhất phân khúc"	giá	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Khi so với các xe cùng phân khúc đến từ Nhật Bản như Mazda CX-5, Honda CR-V… thì Hyundai Tucson đang là xe có giá hấp dẫn nhất"	giá	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Khi đặt cạnh nhau, rõ ràng Hyundai Tucson đang chiếm lợi thế nhờ kích thước lớn hơn đối thủ Baic X55"	thiết kế	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Tuy nhiên, mức giá của Hyundai Tucson hiện hành vẫn cao hơn rất nhiều so với Baic X55"	giá	tiêu cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Tuy nhiên, khi nhìn vào những thông số kích thức cụ thể, mẫu xe đến từ Trung Quốc cũng không thua thiệt hơn quá nhiều"	thiết kế	trung lập				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Bên phía đối diện, Hyundai Tucson bản mới thay đổi với ""bộ móng"" tạo hình mới mẻ hơn, kích thước mâm 18 inch hợp kim đa chấu được giữ nguyên như bản cũ"	thiết kế	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Về cảm giác lái, Hyundai Tucson hiện hành đã được cải thiện đáng kể so với phiên bản tiền nhiệm"	sức mạnh	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"So với Baic X55, Hyundai Tucson là chiếc xe mà chúng tôi đánh giá có khả năng cách âm tốt hơn hẳn"	tính năng và công nghệ	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	"Với Baic X55, mẫu xe này có lợi thế cạnh tranh nhờ mức giá rẻ nhất phân khúc, trang bị ở mức đủ dùng"	giá	tích cực				
345	So sánh xe Baic X55 và Hyundai Tucson 2021: Đại chiến xe CUV giá rẻ	Nhược điểm của xe X55 là cảm giác lái thực sự chưa tốt khi đặt cạnh các đối thủ cùng phân khúc	sức mạnh	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Ở chiều ngược lại, Honda City sở hữu cho mình một phong cách thể thao, đồng nghĩa xe có mức giá cao nhất phân khúc"	giá	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	Thương hiệu đến từ Hàn Quốc chốt mức giá bán rẻ nhất phân khúc sedan hạng B cho Kia Soluto dao động từ 369-469 triệu đồng	giá	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Do đó, hãng xe Nhật Bản tự tin cạnh tranh bằng mức giá cao nhất phân khúc"	giá	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Sở hữu mức giá cao nên Honda City cũng được ""trang hoàng mặt tiền"" khá ấn tượng với cụm đèn pha LED chia khoang, đây cũng là trang bị cao cấp nhất phân khúc sedan hạng B tại Việt Nam"	tính năng và công nghệ	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Đáng tiếc, bộ mâm xe kích thước nhỏ chỉ 14 inch thua thiệt so với các đối thủ cùng phân khúc"	thiết kế	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Đặc biệt, đường gân nổi của City rõ nét hơn khá nhiều so với đối thủ và đặt ngay trên tay nắm cửa giúp gia tăng hiệu ứng chiều cao cho người nhìn"	thiết kế	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Khi đặt nội thất 2 mẫu xe này cạnh nhau, rõ ràng Kia Soluto đang thua thiệt hơn khá nhiều với không gian tương đối nghèo nàn, các chi tiết hoàn thiện của mẫu xe này đậm chất bình dân với nhựa cứng, điều hòa cơ khá thô"	thiết kế	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Không gian ghế ngồi của City cũng ""ăn đứt"" đối thủ với sự rộng rãi nhất phân khúc sedan hạng B, bệ tỳ tay và cửa gió điều hòa cho hành khách phía sau cũng là điểm khác biệt của City đời mới"	thiết kế	tích cực	thiết kế	tích cực		
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Xét về tính thẩm mỹ, màn hình xe City cũng được thiết kế ấn tượng hơn Soluto"	thiết kế	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	 Honda City 2021 hiện đang là mẫu xe mang đến trải nghiệm lái thú vị nhất cho người dùng ở phân khúc sedan hạng B	sức mạnh	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Về mặt giấy tờ, động cơ của Honda City 2021 chỉ tăng 1 mã lực so với đời trước, nhưng lại vượt trội hoàn toàn so với đối thủ"	sức mạnh	tích cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	"Đội ngũ so sánh xe chúng tôi đã trải nghiệm cảm giác vận hành của mẫu xe này, Honda City 2021 cho thấy vì sao đây là chiếc xe có giá cao nhất phân khúc"	giá	tiêu cực				
431	So sánh xe Kia Soluto và Honda City 2021: Giá bán quyết định tất cả?	" Tuy nhiên, nhược điểm sẽ đến từ mức giá cao nhất phân khúc, gần 600 triệu đồng cho phiên bản cao cấp nhất"	giá	tiêu cực				
403	So sánh xe Hyundai Kona 2020 và Ford EcoSport 2020: Lựa chọn nào ngoài Kia Seltos?	"Xét về kích thước, Hyundai Kona đang chiếm ưu thế hơn khi ở những thông số chiều dài, rộng, trục cơ sở đều ấn tượng hơn đối thủ đến từ Mỹ"	thiết kế	tích cực				
403	So sánh xe Hyundai Kona 2020 và Ford EcoSport 2020: Lựa chọn nào ngoài Kia Seltos?	Nhược điểm của Ford EcoSport 2020 đến từ khả năng cách âm vẫn còn khá kém so với mặt bằng chung của phân khúc	tính năng và công nghệ	tiêu cực				
403	So sánh xe Hyundai Kona 2020 và Ford EcoSport 2020: Lựa chọn nào ngoài Kia Seltos?	"Trong khi đó, Ford EcoSport là chiếc xe có giá bán tốt trong phân khúc cùng khả năng lái thực dụng, tin cậy nhờ khối động cơ 1.0 EcoBoost trứ danh của thương hiệu xe hơi Mỹ"	giá	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	Các thông số kích thước của MG ZS 2021 và Ford EcoSport khá tương đồng	thiết kế	trung lập				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Ford EcoSport 2021 không thay đổi phần thân so với đời cũ, vẫn còn đó gương chiếu hậu chỉnh/gập điện kết hợp báo rẽ dạng bóng thường"	thiết kế	trung lập				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Bộ mâm dạng cánh hoa 17 inch được giữ nguyên từ ""người tiền nhiệm"""	thiết kế	trung lập				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Không dừng lại ở phần ngoại hình mới, MG ZS 2021 đã biết cách lấy lòng người dùng với khoang lái hiện đại hơn"	thiết kế	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	" Hơn nữa, MG ZS còn có ghế lái chỉnh điện vượt trội hơn hẳn bản cao cấp của EcoSport vẫn là ghế chỉnh cơ"	tính năng và công nghệ	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Hàng ghế sau xe có bệ tỳ tay kiêm hộc để đồ, nhưng việc thiếu đi cửa gió điều hòa là thiệt thòi lớn với người dùng EcoSport so với MG ZS"	tính năng và công nghệ	tiêu cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Trong khi đó, Ford EcoSport vẫn mang đến những tính năng an toàn khá cơ bản nếu không muốn nói là thiếu khá nhiều so với đối thủ"	an toàn	tiêu cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Theo trải nghiệm thực tế của đội ngũ so sánh xe chúng tôi, MG ZS 2021 có khả năng vận hành ấn tượng hơn bản cũ nhờ việc cải tiến hộp số"	sức mạnh	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Bởi chúng tôi đã đạp sâu chân ga để thử khả năng tăng tốc, song chiếc xe vẫn lên khá từ từ, không quá bốc như những gì mà đối thủ khác cùng phân khúc là Kia Seltos thể hiện"	sức mạnh	tiêu cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Về khả năng cách âm, nếu so với đối thủ trực tiếp Ford EcoSport, chúng tôi đánh giá cao hơn bởi ZS không xuất hiện nhiều tiếng ù khi di chuyển ở tốc độ cao"	tính năng và công nghệ	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	Ford EcoSport 2021 ấn tượng hơn đối thủ với khả năng tăng tốc tốt hơn nhờ động cơ Ecoboost trứ danh	sức mạnh	tích cực				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Ở chiều ngược lại, Ford EcoSport 2021 có khả năng cách âm ở mức trung bình so với mặt bằng chung của phân khúc"	tính năng và công nghệ	trung lập				
442	"So sánh xe MG ZS 2021 và Ford EcoSport 2021: ""Tân binh"" đủ sức thay thế ""cựu vương"""	"Đặc biệt, chiếc xe này có những công nghệ an toàn hàng đầu phân khúc xứng đáng là lựa chọn đáng tiền ở thời điểm hiện tại"	an toàn	tích cực				
552	"So sánh xe VinFast Lux SA2.0 2021 và Toyota Fortuner 2021: ""Cuộc chơi"" dần thay đổi"	"Trên VinFast Lux SA2.0 2021, nhà sản xuất Việt Nam thiết kế cụm đèn hậu đặt thấp khác biệt so với hầu hết đối thủ cùng phân khúc để tạo điểm nhấn"	thiết kế	trung lập				
552	"So sánh xe VinFast Lux SA2.0 2021 và Toyota Fortuner 2021: ""Cuộc chơi"" dần thay đổi"	"Bên kia chiến tuyến, Toyota Fortuner 2021 đã rũ bỏ thiết kế già cỗi, thay vào đó là ""gương mặt"" đầy sức sống và trẻ hóa hoàn toàn so với đời cũ"	thiết kế	tích cực				
